RANKED FRAMES BY COOPERATION BENEFIT
=================================================================
Rank  Scenario                   Frame     Agents  Recovered  Blind%  
-----------------------------------------------------------------
1     2021_08_20_21_10_24        000117    3       1          13.26%
2     2021_08_20_21_10_24        000115    3       1          13.23%
3     2021_08_20_21_10_24        000113    3       1          13.21%
4     2021_08_20_21_10_24        000101    3       1          13.15%
5     2021_08_20_21_10_24        000111    3       1          13.14%
6     2021_08_20_21_10_24        000099    3       1          13.04%
7     2021_08_20_21_10_24        000195    3       1          12.90%
8     2021_08_23_21_07_10        000123    3       1          12.82%
9     2021_08_22_07_52_02        000073    5       1          12.50%
10    2021_08_22_07_52_02        000079    5       1          12.21%
11    2021_08_22_07_52_02        000085    5       1          11.69%
12    2021_08_23_17_22_47        000101    3       1          11.43%
13    2021_08_22_07_52_02        000089    5       1          11.26%
14    2021_08_23_17_22_47        000093    3       1          11.16%
15    2021_08_23_21_07_10        000249    3       1          10.99%
16    2021_08_23_21_07_10        000321    3       1          10.85%
17    2021_08_23_21_07_10        000333    3       1          10.53%
18    2021_08_20_21_10_24        000081    3       1          10.41%
19    2021_08_23_21_07_10        000339    3       1          10.41%
20    2021_08_24_07_45_41        000152    4       1          10.38%
